# ImageMagick pixel enumeration: 16,1,255,srgba
0,0: (  0,  0,  0,  0) #00000000 none
1,0: (255,255,255, 17) #FFFFFF11 srgba(255,255,255,0.0666667)
2,0: (255,255,255, 34) #FFFFFF22 srgba(255,255,255,0.133333)
3,0: (255,255,255, 51) #FFFFFF33 srgba(255,255,255,0.2)
4,0: (255,255,255, 68) #FFFFFF44 srgba(255,255,255,0.266667)
5,0: (255,255,255, 85) #FFFFFF55 srgba(255,255,255,0.333333)
6,0: (255,255,255,102) #FFFFFF66 srgba(255,255,255,0.4)
7,0: (255,255,255,119) #FFFFFF77 srgba(255,255,255,0.466667)
8,0: (255,255,255,136) #FFFFFF88 srgba(255,255,255,0.533333)
9,0: (255,255,255,153) #FFFFFF99 srgba(255,255,255,0.6)
10,0: (255,255,255,170) #FFFFFFAA srgba(255,255,255,0.666667)
11,0: (255,255,255,187) #FFFFFFBB srgba(255,255,255,0.733333)
12,0: (255,255,255,204) #FFFFFFCC srgba(255,255,255,0.8)
13,0: (255,255,255,221) #FFFFFFDD srgba(255,255,255,0.866667)
14,0: (255,255,255,238) #FFFFFFEE srgba(255,255,255,0.933333)
15,0: (255,255,255,255) #FFFFFFFF white
